"Código","Concurso","Área ","Título","Director General"
"IT16I10090","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","MINERIA","DESARROLLO DE UNA COBERTURA COMPUESTA PARA EL CONTROL DE EROSIÓN EÓLICA EN DEPÓSITOS DE RELAVE","CLAUDIA ORTIZ CALDERON"
"IT16I10092","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","EDUCACION Y CIENCIAS SOCIALES","MODELO DE EVALUACIÓN DE CONDICIONES PARA LA PARENTALIDAD (MECEP): AJUSTE Y APLICACIÓN EN DIVERSIDAD DE CONTEXTOS SOCIOCULTURALES","MAGALY CABROLIE VARGAS"
"IT16I10095","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","FORESTAL","IDENTIFICACIÓN Y MONITOREO SATELITAL DE ZONAS DE PELIGRO DE INCENDIOS FORESTALES A PARTIR DE QUEMAS AGRÍCOLAS EN EL SUR DE CHILE","PATRICIO ACEVEDO ARANGUIZ"
"IT16I10096","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","ENERGIA Y AGUAS","SIMULADOR BASADO EN VIDEO JUEGOS PARA RESPUESTA A DESASTRES","ROBERTO ALDUNATE VERA"
"ID17I10010","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","FORESTAL","DESARROLLO DE UN NUEVO REPELENTE NATURAL PARA EL CONTROL DEL ESCARABAJO DE LA CORTEZA DE PINO APLICADO AL SECTOR FORESTAL Y MADERERO","JOSE BECERRA ALLENDE"
"ID17I10012","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","MINERIA","DESARROLLO DE ELECTRODOS DE ALTA EFICIENCIA EN BASE A MATERIALES NANOESTRUCTURADOS PARA APLICACIONES EN PROCESOS DE ELECTRO-OBTENCIÓN EN LA MINERÍA","CAROLINA PARRA GONZALEZ"
"ID17I10018","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","GESTIÓN DE INSPECCIONES EN PUENTES DE ACERO BASADO EN MONITOREO Y PRONÓSTICO DE DAÑO MEDIANTE INTEGR ACIÓN DE SENSORES Y PROCESAMIENTO DE IMÁGENES","ENRIQUE LOPEZ"
"ID17I10021","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","MINERIA","PROCESO INTEGRADO DE SEPARACIÓN POR MEMBRANAS PARA LA RECUPERACIÓN DE CIANURO Y METALES DE VALOR EN LA MINERÍA DE ORO Y PLATA","HUMBERTO ESTAY"
"ID17I10033","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","EDUCACION Y CIENCIAS SOCIALES","PROTOTIPO DE ALERTA TEMPRANA PARA SISTEMAS Y PROGRAMAS DE PROTECCIÓN A LA INFANCIA DESDE UN ENFOQUE DE DERECHOS.","TERESITA MATUS SEPÚLVEDA"
"ID17I10037","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","SALUD","PRODUCTION OF NANOBODIES FOR POST-TRANSLATIONAL MODIFICATIONS: SIMPLE ANTIBODIES FOR BIG CHALLENGES","ALEJANDRO ROJAS FERNANDEZ"
"ID17I10040","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","FORESTAL","PRESERVANTE INNOVADOR BIOCOMPATIBLE NO TÓXICO A BASE DE NANO-LIGNINA Y NANO-SÍLICE, CON PROPIEDADES ANTI-UV, BIOCIDAS E IGNÍFUGAS, PARA MEJORAR EL DESEMPEÑO DE LA MADERA PAÍS DE USO EXTERIOR, INCREMEN TANDO SU VALOR AGREGADO COMO PRODUCTO FINAL","GALO CARDENAS TRIVIÑO"
"ID17I10043","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","ENERGIA Y AGUAS","SISTEMA AUTÓNOMO DE MANTENIMIENTO BASADO EN CONDICIÓN (CBM) PARA PLANTAS FOTOVOLTAICAS EN CLIMAS DES ÉRTICOS Y DE ALTA RADIACIÓN","RODRIGO BARRAZA"
"ID17I10064","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","SALUD","DESARROLLO, PRODUCCIÓN Y CARACTERIZACIÓN DE UN ANTICUERPO RECOMBINANTE HUMANO CONTRA LA VARIANTE SOL UBLE DE ST2 (SST2) CON POTENCIAL TERAPÉUTICO PARA EL TRATAMIENTO DE LA COLITIS ULCEROSA","MARCELA HERMOSO"
"ID17I10080","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","PESCA Y ACUICULTURA","PRODUCCIÓN DE PLÁNTULAS QUIMÉRICAS DE ALTO CRECIMIENTO EN ESPECIES DE LESSONIA PARA EL CULTIVO Y REP OBLAMIENTO DE ECOSISTEMAS ROCOSOS COSTEROS.","ALEJANDRA GONZALEZ"
"ID17I10087","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","ENERGIA Y AGUAS","IMPLEMENTACIÓN Y VALIDACIÓN DE UN SISTEMA DE ALERTA TEMPRANA FRENTE A AMENAZAS NATURALES BASADO EN V EHÍCULOS AÉREOS AUTÓNOMOS","ALFONSO FERNANDEZ RIVERA"
"CA12I10123","I CONCURSO CIENCIA APLICADA DEL PROGRAMA IDEA DE FONDEF","AGROPECUARIA","APROVECHAMIENTO DE CEPAS NATIVAS CHILENAS ASOCIADAS A TERROIR Y/O DENOMINACIÓN DE ORIGEN PARA EL MEJORAMIENTO DE VINOS PREMIUM","JAIME ROMERO ORMAZABAL"
"ID17I10095","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","SALUD","TRATAMIENTO FARMACOLÓGICO DE LA ENFERMEDAD DE PARKINSON CON CUMARINAS MULTIFUNCIONALES. PRUEBA DE CO NCEPTO EN MODELOS ANIMALES DE LA ENFERMEDAD","MARCO NUñEZ GONZALEZ"
"ID17I10100","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","PESCA Y ACUICULTURA","PRODUCCIÓN BIOTECNOLÓGICA DE UNA FORMULACIÓN ANESTÉSICA NATURAL DE ORIGEN MARINO PARA USO EN ACUICUL TURA","ALLISSON ASTUYA VILLALON"
"ID17I10102","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","EDUCACION Y CIENCIAS SOCIALES","SUPLEMENTO CURRICULAR BASADO EN JUEGOS PARA EL DESARROLLO DEL LENGUAJE, ALFABETIZACIÓN, CONOCIMIENTO NUMÉRICO Y AUTOREGULACIÓN EN NIVELES MEDIO Y TRANSICIÓN DE EDUCACIÓN PARVULARIA","KATHERINE STRASSER SALINAS"
"ID17I10111","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","EDUCACION Y CIENCIAS SOCIALES","PROTOCOLO DE ACTUACIÓN PARA LA ATENCIÓN EN JUSTICIA CON ENFOQUE DE GÉNERO Y DIVERSIDAD","XIMENA ANDREA GAUCHÉ MARCHETTI"
"ID17I10125","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","ENERGIA Y AGUAS","DESARROLLO DE UN TRATAMIENTO BIOLÓGICO AVANZADO PARA LAS AGUAS RESIDUALES DE LA INDUSTRIA DE LA CELULOSA","JAVIER FERRER VALENZUELA"
"ID17I10140","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","SISTEMA DE MONITOREO PARA DIAGNÓSTICO Y PRONÓSTICO DE DAÑO ESTRUCTURAL EN TURBINAS EÓLICAS","RODRIGO ASTROZA"
"ID17I10143","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","SALUD","DESARROLLO DE UNA FORMULACIÓN ANTIVIRAL, A PARTIR DE EXTRACTOS DE ALGAS PARDAS DEL LITORAL CHILENO, PARA TRATAR LESIONES CUTÁNEAS PRODUCIDAS POR VIRUS HERPES SIMPLE.","PABLO GONZALEZ MUNOZ"
"ID17I10161","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","ENERGIA Y AGUAS","DISEÑO E IMPLEMENTACIÓN DE INFRAESTRUCTURA TECNOLÓGICA PARA LA GESTIÓN DE CONSUMOS FLEXIBLES EN SIST EMAS ELÉCTRICOS","MATIAS NEGRETE"
"ID17I10162","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","INFRAESTRUCTURA","DESARROLLO Y ESTANDARIZACIÓN DE UN NUEVO SISTEMA CONSTRUCTIVO PARA MURO DE HORMIGÓN MEDIANTE ENCOFRA DOS PREFABRICADOS ?STAY IN PLACE? DE ALTAS PRESTACIONES HIGROTÉRMICAS Y BAJO IMPACTO AMBIENTAL PARA EDIFICACIÓN EN CHILE","JESÚS ALBERTO PULIDO"
"ID17I10184","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","SISTEMA DE VISIÓN ESPECTRAL PARA LA DISCRIMINACIÓN DE ESPECIES PELÁGICAS PEQUEÑAS PRESENTES EN LA PE SCA ARTESANAL","JORGE PEZOA NúñEZ"
"ID17I10185","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","PESCA Y ACUICULTURA","GENERACIÓN DE UN ANTIPARASITARIO DE BASE NANOBIOTECNOLÓGICA PARA EL CONTROL DE CALIGIDOSIS EN SALMON ICULTURA","JAIME ROMERO ORMAZABAL"
"ID17I10215","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","INFRAESTRUCTURA","DESARROLLO DE UN NUEVO HORMIGÓN CON ALTA RAZÓN RESISTENCIA-DENSIDAD - HARD PARA UNA CONSTRUCCIÓN PRO DUCTIVA Y SUSTENTABLE","MAURICIO LOPEZ CASANOVA"
"ID17I10220","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","EDUCACION Y CIENCIAS SOCIALES","ESPACIOS DE CONOCIMIENTO EN MATEMÁTICAS: COGNICION, MEDICION Y EVALUACION DE APRENDIZAJES AL SERVICI O DE LA DIVERSIDAD EN EL AULA","ERNESTO SAN MARTIN GUTIERREZ"
"ID17I10225","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","EDUCACION Y CIENCIAS SOCIALES","MEJORANDO RELACIONES LABORALES: INVESTIGACIÓN Y DESARROLLO (I+D) DE UN PROTOTIPO DE SISTEMA DE FOMEN TO AL DIALOGO SOCIAL (DS) EN LAS EMPRESAS.","EDUARDO ABARZÚA CRUZ"
"ID17I10236","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","INFRAESTRUCTURA","DESARROLLO DE UN PRODUCTO BIOTECNOLÓGICO PARA LA REPARACIÓN DE GRIETAS EN ESTRUCTURAS DE HORMIGÓN","VICENTE ZETOLA VARGAS"
"ID17I10247","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","PESCA Y ACUICULTURA","LEVADURAS AUTÓCTONAS PARA LA PRODUCCIÓN SUSTENTABLE DE LARVAS DE PECES MARINOS","PAOLA NAVARRETE WALLACE"
"ID17I10254","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","IDENTIFICACIÓN MASIVA DE PERSONAS MEDIANTE HUELLA DIGITAL","RICARDO BARRIENTOS"
"ID17I10256","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","COMUNICACION INALAMBRICA LASER: ACCESO DIGITAL DE BANDA ANCHA","JAIME ANGUITA GARCIA"
"ID17I10259","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","FORESTAL","BIOPRODUCTO EN BASE A EXTRACTOS ALGALES PARA EL CONTROL DE LAS PLAGAS FORESTALES GORGOJO DEL EUCALIP TO Y ESCARABAJO DE LA CORTEZA EN PINO","RENE LE FEUVRE SALAS"
"ID17I10264","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","INFRAESTRUCTURA","BASES DE DISEÑO Y RECOMENDACIONES PARA LA ACTUALIZACIÓN DE LA NORMA CHILENA NCH1928 - ALBAÑILERÍA AR MADA. UNA CONTRIBUCIÓN BASADA EN CARACTERIZACIÓN EXPERIMENTAL Y MICRO-MODELACIÓN DETALLADA.","CRISTIÁN SANDOVAL"
"ID17I10276","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","PESCA Y ACUICULTURA","DESARROLLO DE UN PROTOTIPO DE SISTEMA DE RECIRCULACIÓN ACUÍCOLA (RAS) PARA LARVICULTURA DE ESPECIES NATIVAS CHILENAS DE LARGO Y COMPLEJO DESARROLLO LARVAL PLANCTÓNICO COMO CONCHOLEPAS CONCHOLEPAS.","SERGIO MORALES COFRE"
"ID17I10287","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","PESCA Y ACUICULTURA","OPTIMIZACIÓN DE LA TECNOLOGÍA DE PRODUCCIÓN DE CRISTALINOS DE G. MACULATUS  PARA LA  PUESTA EN VALOR DE UN RECURSO ENDÉMICO DE ALTA PROYECCIÓN COMERCIAL","VANESSA ANDREA MELLA ALVARADO"
"ID17I10301","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","SALUD","VALIDACIÓN PRE-CLÍNICA DE UN MÉTODO BASADO EN IMÁGENES MÉDICAS PARA LA PREDICCIÓN TEMPRANA DE DAÑO I NDUCIDO POR VENTILACIÓN MECÁNICA","DANIEL HURTADO SEPúLVEDA"
"ID17I10302","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","ENERGIA Y AGUAS","OPTIMIZACIÓN Y APLICACIÓN DE MATERIAL FILTRANTE DE ORIGEN DIVERSO","MARIA RUBIO CAMPOS"
"ID17I10314","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","ENERGIA Y AGUAS","CELDAS FOTOVOLTAICAS SENSIBILIZADAS CON EXTRACTOS DE ALGAS CHILENAS","PAULRAJ MANIDURAI"
"ID17I10333","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","MANUFACTURA","DESARROLLO DE RECUBRIMIENTOS IGNÍFUGOS E INTUMESCENTES PARA LA PROTECCIÓN DE MATERIALES","MANUEL MELENDREZ CASTRO"
"ID17I10338","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","ENERGIA Y AGUAS","INVESTIGACIÓN Y DESARROLLO DE UN ALIMENTADOR ELECTRÓNICO PARA MÁXIMA EFICIENCIA EN MOTORES DE INDUCC IÓN","JUAN CARLOS TRAVIESO"
"ID17I10339","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","MANUFACTURA","DESARROLLO DE UN PROTOTIPO DE FILTRO DE AIRE CON COBRE MAGNETIZADO PARA LA REDUCCIÓN DE CARGA BACTER IANA EN RECINTOS CERRADOS/CONTAMINADOS","MARTA LOPEZ JENSSEN"
"ID17I10359","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","EDUCACION Y CIENCIAS SOCIALES","LEER+: PLATAFORMA PARA LA MEJORA DE LA COMPRENSIÓN LECTORA DE ALUMNOS DE TERCERO A SEXTO BÁSICO","PELUSA ORELLANA GARCIA"
"ID17I10366","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","EDUCACION Y CIENCIAS SOCIALES","DESARROLLO Y EVALUACIÓN DE UN MODELO DIDÁCTICO TRANSDISCIPLINAR PARA LA EDUCACIÓN BÁSICA RURAL.","GABRIEL HERNÁNDEZ"
"ID17I10393","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","EDUCACION Y CIENCIAS SOCIALES","MODELO INTRACURRICULAR DE FACILITACIÓN DE COMPETENCIAS DE AUTORREGULACIÓN DEL APRENDIZAJE EN ESTUDIA NTES UNIVERSITARIOS","MARIA PEREZ VILLALOBOS"
"ID17I10421","IV CONCURSO IDEA EN DOS ETAPAS CONVOCATORIA 2017","ENERGIA Y AGUAS","SISTEMA INTEGRADO DE MANTENIMIENTO PREDICTIVO PARA TORRES Y SUBESTACIONES DE ALTA TENSIÓN ORIENTADO A PREVENIR FALLAS POR CONDICIONES AMBIENTALES EN EL SISTEMA ELÉCTRICO NACIONAL.","RODRIGO VILLALOBOS SAN MARTÍN"
"ID17AM0009","SEGUNDO CONCURSO IDEA EN DOS ETAPAS TEMÁTICO EN ADULTO MAYOR 2017","ADULTO MAYOR","DESARROLLO DE UN NÚCLEO  DE EXTRACTOS BIOACTIVOS DE ESPECIES NATURALES DEL SUR DE CHILE COMO COMPLEM ENTO INMUNOMODULADOR PARA EL ADULTO MAYOR","ASTRID SEPERIZA WITTWER"
"ID17AM0018","SEGUNDO CONCURSO IDEA EN DOS ETAPAS TEMÁTICO EN ADULTO MAYOR 2017","ADULTO MAYOR","DESARROLLO DE ALIMENTOS SALUDABLES CON BUENOS ATRIBUTOS SENSORIALES PARA MEJORAR EL ESTADO NUTRICION AL DEL ADULTO MAYOR (AM).","MARIA MARIOTTI CELIS"
"ID17AM0023","SEGUNDO CONCURSO IDEA EN DOS ETAPAS TEMÁTICO EN ADULTO MAYOR 2017","ADULTO MAYOR","CALZA INTELIGENTE QUE MEJORA LA POSTURA, EL MOVIMIENTO Y LA CALIDAD DE VIDA DEL ADULTO MAYOR","JAVIER MUNOZ"
"ID17AM0038","SEGUNDO CONCURSO IDEA EN DOS ETAPAS TEMÁTICO EN ADULTO MAYOR 2017","ADULTO MAYOR","DISPOSITIVO ELECTRÓNICO, PERSONAL Y PORTABLE EN SALUD (DEPPAS), QUE OPERA INDEPENDIENTE DE INTERNET Y REDES DE TELECOMUNICACIONES: APORTE DE INFORMACIÓN CLAVE PARA RESOLUTIVIDAD DEL EQUIPO DE SALUD EN ATENCIÓN DE PERSONAS MAYORES EN URGENCIAS Y DESASTRES.","MARISA TORRES HIDALGO"
"ID17AM0043","SEGUNDO CONCURSO IDEA EN DOS ETAPAS TEMÁTICO EN ADULTO MAYOR 2017","ADULTO MAYOR","LA FUENTE DE LA JUVENTUD: DESARROLLO DE UN SUPLEMENTO ANTIOXIDANTE, ANTIINFLAMATORIO Y NEUROREGENERA TIVO DERIVADO DEL LÚPULO PARA EL REJUVENECIMIENTO CEREBRAL","MARIO SIMIRGIOTIS AGÜERO"
"CA13I10334","II CONCURSO CIENCIA APLICADA FONDEF  2013","AGROPECUARIA","APLICACIóN DE EXTRACTOS NATURALES DE PLANTAS AUTóCTONAS CHILENAS EN EL DESARROLLO DE ENVASES ACTIVOS CON CAPACIDAD ANTIOXIDANTE Y ANTIMICROBIANA.","ABEL GUARDA MORAGA"
"IT13I20048","II CONCURSO INVESTIGACIÓN TECNOLÓGICA PROGRAMA IDEA","AGROPECUARIA","OPTIMIZACIÓN DE UN EXTRACTO CONCENTRADO DE FRUTOS DE RALEO DE MANZANOS ORGÁNICOS (ECFP) Y DESARROLL O DE UN PROTOTIPO MICROENCAPSULADO CON POTENCIAL USO EN LA INDUSTRIA ALIMENTARIA Y FARMACÉUTICA.","JOSE YURI SALOMON"
"CA13I10207","II CONCURSO CIENCIA APLICADA FONDEF  2013","AGROPECUARIA","?APLICACIóN DE HO21, UN PRODUCTO NATURAL E INOCUO EN ABEJAS MELíFERAS, PARA EL CONTROL Y PREVENCIóN DE LA INFECCIóN POR PAENIBACILLUS LARVAE (LOQUE AMERICANA)?","JESSICA MARTINEZ ARENAS"
"IT16I10079","V CONCURSO DE INVESTIGACIÓN TECNOLÓGICA DEL FONDO DE FOMENTO AL DESARROLLO CIENTÍFICO Y TECNOLÓGICO,","AGROPECUARIA","""ESCALAMIENTO A LA FASE COMERCIAL DE UN PRODUCTO NATURAL (HO21), PARA EL CONTROL DE LOQUE AMERICANA EN ABEJAS MELÍFERAS"".","JESSICA MARTINEZ ARENAS"
"IT17M10001","SEGUNDO CONCURSO DE INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","OBTENCIÓN DE COBRE METÁLICO Y SALES DE COBRE COMO VALOR AGREGADO A PYMES","MARIA TABOADA MENESES"
"IT17M10002","SEGUNDO CONCURSO DE INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","INTEGRACIÓN DE ENERGÍAS RENOVABLES EN PROCESOS HIDROMETALÚRGICOS DE LA PEQUEÑA Y MEDIANA MINERÍA, PA RA LA PRODUCCIÓN SUSTENTABLE DE COBRE","MARCELO MONTENEGRO"
"IT17M10005","SEGUNDO CONCURSO DE INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","MINEROC, PLATAFORMA TECNOLÓGICA PARA EL DISEÑO EN LA MEDIANA MINERÍA SUBTERRÁNEA","JAVIER VALLEJOS MASSA"
"IT17M10006","SEGUNDO CONCURSO DE INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","ESCALAMIENTO Y DESARROLLO DE UN BIOESTABILIZADOR DE MATERIAL PARTICULADO PARA LA OPERACIÓN SUSTENTAB LE DE MINA","CLAUDIA ORTIZ CALDERON"
"IT17M10009","SEGUNDO CONCURSO DE INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","DESARROLLO E IMPLEMENTACIÓN DE UN SISTEMA DE AHORRO DE ENERGÍA EN REDES DE VENTILACIÓN DE MINAS","JUAN HURTADO CRUZ"
"IT17M10010","SEGUNDO CONCURSO DE INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","IDENTIFICACIÓN DE FASES FUNDIDAS MEDIANTE IMAGENOLOGÍA HIPERESPECTRAL Y RADIOMETRÍA PARA MEJORAS EN CONTROL DE PROCESOS","ROBERTO PARRA FIGUEROA"
"IT17M10011","SEGUNDO CONCURSO DE INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","SISTEMA DE ANÁLISIS DE BIG DATA EN REFINERÍAS ELECTROLÍTICAS PARA EL MEJORAMIENTO DE LA AUTOMATIZACI ÓN Y GESTIÓN OPERACIONAL: CASO CHUQUICAMATA","ALDO CIPRIANO ZAMORANO"
"IT17M10012","SEGUNDO CONCURSO DE INVESTIGACIÓN TECNOLÓGICA TEMÁTICO EN MINERÍA","MINERIA","MULTIUSER VLC FOR UNDERGROUND MINING","ISMAEL SOTO GOMEZ"
"IT17F10001","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMATICO EN SISTEMAS PESQUERO ACUICOLAS FRENTE A FLORECIMIENTO ALGAL","PESCA Y ACUICULTURA","CONTROL MICROBIOLÓGICO Y MITIGACIÓN DEL DESARROLLO DE FANS MEDIANTE LA APLICACIÓN DE DIATOMEAS NATIV AS INOCUAS","CARLOS RIQUELME SALAMANCA"
"IT17F10002","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMATICO EN SISTEMAS PESQUERO ACUICOLAS FRENTE A FLORECIMIENTO ALGAL","PESCA Y ACUICULTURA","ANÁLISIS DE RIESGO Y SISTEMA DE ALERTA TEMPRANA DE FLORACIONES ALGALES NOCIVAS PARA LA ACUICULTURA Y ÁREAS DE MANEJO EN EL NORTE DE CHILE","GONZALO ALVAREZ VERGARA"
"IT17F10011","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMATICO EN SISTEMAS PESQUERO ACUICOLAS FRENTE A FLORECIMIENTO ALGAL","PESCA Y ACUICULTURA","SISTEMA MASIVO Y DE BAJO COSTO PARA EL MONITOREO IN SITU DE ALGAS NOCIVAS EN TODA LA COSTA CHILENA","CHRISTOPHER AIKEN -"
"IT17F10012","PRIMER CONCURSO INVESTIGACIÓN TECNOLÓGICA TEMATICO EN SISTEMAS PESQUERO ACUICOLAS FRENTE A FLORECIMIENTO ALGAL","PESCA Y ACUICULTURA","HUELLA DIGITAL HIPER-ESPECTRAL DE ESPECIES DE MAREA ROJA MEDIANTE EL ACOPLAMIENTO DE SEÑALES BIO-ÓPTICAS REMOTAS E IN SITU EN CHILE AUSTRAL.","PATRICIO BERNAL"
"IT17I0006","SEXTO CONCURSO INVESTIGACIÓN TECNOLÓGICA. IDEA 2017","EDUCACION Y CIENCIAS SOCIALES","UN SISTEMA NACIONAL DE PROTECCIÓN DE TRAYECTORIAS EDUCATIVAS: DISMINUYENDO LA EXCLUSIÓN EDUCATIVA EN LA ENSEÑANZA ESCOLAR Y PREVINIENDO LA DESERCIÓN EN EDUCACIÓN SUPERIOR","PATRICIO RODRIGUEZ VALDES"
"IT17I0010","SEXTO CONCURSO INVESTIGACIÓN TECNOLÓGICA. IDEA 2017","EDUCACION Y CIENCIAS SOCIALES","DESARROLLO Y VALIDACIÓN DE UN SISTEMA INTEGRADO DE GESTIÓN DE INTERVENCIONES CON ADOLESCENTES INFRAC TORES DE LEY BASADO EN EL MODELO MULTIDIMENSIONAL DE INTERVENCIÓN DIFERENCIADA, MMIDA.","RICARDO PEREZ-LUCO ARENAS"
"IT17I0023","SEXTO CONCURSO INVESTIGACIÓN TECNOLÓGICA. IDEA 2017","AGROPECUARIA","ESCALAMIENTO Y VALIDACIÓN DE UNA NUEVA FORMULACIÓN BIOCONTROLADORA EN BASE A BACTERIÓFAGOS PARA EL C ONTROL DE PESTE NEGRA DEL NOGAL","JAIME ROMERO ORMAZABAL"
"IT17I0048","SEXTO CONCURSO INVESTIGACIÓN TECNOLÓGICA. IDEA 2017","AGROPECUARIA","PLATAFORMA TECNOLÓGICA PARA LA PRODUCCIÓN DE PROTEÍNAS RECOMBINANTES EN LA LECHE DE MAMÍFEROS NO-TRA NSGÉNICOS.","OLIBERTO SANCHEZ RAMOS"
"IT17I0051","SEXTO CONCURSO INVESTIGACIÓN TECNOLÓGICA. IDEA 2017","EDUCACION Y CIENCIAS SOCIALES","DESARROLLO DE UNA HERRAMIENTA COMPUTACIONAL PARA LA EVALUACIÓN AUTOMÁTICA DE TEXTOS EN EL SISTEMA ES COLAR CHILENO.","MARIA VELIZ DE VOS"
"IT17I0064","SEXTO CONCURSO INVESTIGACIÓN TECNOLÓGICA. IDEA 2017","FORESTAL","FABRICACIÓN Y VALIDACIÓN DE SEMILLAS ARTIFICIALES DE PINUS RADIATA PARA LA PROPAGACIÓN CLONAL EN VIV EROS FORESTALES.","NESTOR URRA NUNEZ"
"IT17I0066","SEXTO CONCURSO INVESTIGACIÓN TECNOLÓGICA. IDEA 2017","EDUCACION Y CIENCIAS SOCIALES","DESARROLLO DE UNA PLATAFORMA SOFTWARE-AS-A-SERVICE PARA APOYAR DECISIONES DE DOTACIÓN DE PERSONAL EN CADENAS DE RETAIL","ANDRES MUSALEM SAID"
"IT17I0069","SEXTO CONCURSO INVESTIGACIÓN TECNOLÓGICA. IDEA 2017","AGROPECUARIA","SWEET PEKEETAH?: UN MODELO TECNOLÓGICO-COMERCIAL PARA UNA NUEVA VARIEDAD CHILENA DE FRUTA","RODRIGO INFANTE ESPIÑEIRA"
"IT17I0087","SEXTO CONCURSO INVESTIGACIÓN TECNOLÓGICA. IDEA 2017","SALUD","TEST DE PREDICCIÓN RÁPIDA DE RESPUESTA A TRATAMIENTO CON GLUCOCORTICOIDES EN PACIENTES CON UVEITIS.","CRISTHIAN URZUA SALINAS"
