"Código","Concurso","Área ","Título","Director General"
"IT15I10074","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","EDUCACION Y CIENCIAS SOCIALES","SISTEMA DE DIAGNÓSTICO Y SELECCIÓN PARA FAVORECER LA PERMANENCIA EN LA EDUCACIÓN SUPERIOR DE ESTUDIA NTES PROVENIENTES DE ESTABLECIMIENTOS ALTAMENTE VULNERABLES","CLAUDIA ZUNIGA RIVAS"
"IT15I10079","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","EDUCACION Y CIENCIAS SOCIALES","PLATAFORMA DE JUEGOS DIGITALES PARA LA MEDICIÓN DE LAS DISPOSICIONES A LA COOPERACIÓN PARA LA CONVIV ENCIA ESCOLAR","CARLOS RODRIGUEZ SICKERT"
"IT15I10081","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","MANUFACTURA","DESARROLLO Y MANUFACTURA DE ASPAS DE TURBINAS EÓLICAS DE BAJA POTENCIA PARA VIENTOS CLASE TIPO I-II","RENATO HUNTER ALARCON"
"IT15I10085","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","TECNOLOGÍA DE LA INFORMACIÓN Y COMUNICACIONES","INTEGRACIÓN ÓPTIMA DE ENERGÍA SOLAR EN LA PLANIFICACIÓN Y OPERACIÓN DE SISTEMAS DE TRANSPORTE PÚBLIC O URBANO FERROVIARIO","JORGE AMAYA ARRIAGADA"
"IT15I10086","IV CONCURSO DE INVESTIGACIÓN TECNOLÓGICA 2015  PROGRAMA IDEA","FORESTAL","DESARROLLO Y TRANSFERENCIA DE MODELOS DE PLANTACIONES PRODUCTIVAS DE QUILLAY EN BASE A MATERIAL MEJO RADO PARA LA INDUSTRIA DE LOS EXTRACTOS","JUAN VELOZO SOTO"
"ID16I10001","III CONCURSO IDEA EN DOS ETAPAS 2016","MANUFACTURA","RESISITIVIDAD DE ALAMBRES NANOMÉTRICOS DE COBRE","RAUL MUÑOZ ALVARADO"
"ID16I10005","III CONCURSO IDEA EN DOS ETAPAS 2016","ENERGIA Y AGUAS","MEMBRANAS NANOCOMPÓSITAS PARA NANOFILTRACIÓN","GUILLERMO GONZALEZ MORAGA"
"ID16I10013","III CONCURSO IDEA EN DOS ETAPAS 2016","PESCA Y ACUICULTURA","DESARROLLO DE UN KIT MULTILOCUS PARA LLEVAR A CABO LA IDENTIFICACIÓN DE ESPECIES DE MEJILLONES PARA APOYAR LA TRAZABILIDAD DE ESTE RECURSO","MARÍA LARRAÍN BARTH"
"ID16I10017","III CONCURSO IDEA EN DOS ETAPAS 2016","SALUD","DESARROLLO DE UN SISTEMA DE SCREENING DE ALTO RENDIMIENTO (HTS) PARA LA IDENTIFICACIÓN DE INHIBIDORE S ESPECÍFICOS DE LA EXPRESIÓN GÉNICA DE VIH-1","RICARDO SOTO RIFO"
"ID16I10018","III CONCURSO IDEA EN DOS ETAPAS 2016","PESCA Y ACUICULTURA","AL RECATE DE LA OSTRA NATIVA CHILENA (OSTREA CHILENSIS): GENERACIÓN DE LÍNEAS MEJORADAS GENÉTICAMENT E PARA POTENCIAR EL CRECIMIENTO Y CAPACIDAD DE DETOXIFICACIÓN CON VPM (MAREA ROJA PARALÍTICA)","JORGE TORO YAGUI"
