"","","","","","","","","",""
"PROYECTOS DE INVESTIGACION Y DESARROLLO DESDE EL AÑO 2000","","","","","","","","",""
"(Los montos están en miles $)","","","","","","","","",""
"","","","","","","","","",""
"CODIGO","AÑO CONCURSO","TITULO","PALABRA CLAVE 1","PALABRA CLAVE 2","PALABRA CLAVE 3","DIRECTOR GENERAL","FECHA INICIO","FECHA TERMINO","MONTO ADJ. FONDEF"
"D00I1138","2000","DIFERENCIACION DE LOS VINOS TINTOS CHILENOS EN EL MERCADO MUNDIAL, MEDIANTE LA DETERMINACION DE MARCADORES MOLECULARES CARACTERISTICOS EN CUANTO A CEPA Y ORIGEN","VINO","MARCADORES MOLECULAR","CEPAJE Y ORIGEN","DIETRICH VON BAER VON LOCHOW","10/1/2001","5/31/2005","192.000"
"D00I1141","2000","INNOVACIONES TECNOLOGICAS PARA REPOBLAMIENTO Y PRODUCCION DE LAPAS CHILENAS DE EXPORTACION (FISURELLA LATIMARGINATA Y F. CUMINGI) EN AREAS DE MANEJO Y CENTROS DE CULTIVO","ACUICULTURA","FISURELIDOS","REPOBLAMIENTO","LUIS PEREIRA CHAVEZ","6/1/2001","7/1/2004","180.000"
"D00I1142","2000","CULTIVO DE GASTROPODOS MARINOS DE INTERES COMERCIAL EN EL SUR DE CHILE ","CULTIVO","GASTROPODOS","CHILE","CARLOS VARELA SANTIBANEZ","4/27/2001","12/27/2003","150.000"
"D00I1143","2000","SISTEMA DE INFORMACION INTEGRADO PARA EL DESARROLLO DE LA ACUICULTURA Y LA PESCA (SIAP) ","INFORMACION","NEGOCIO","ACUICULTURA-PESCA","MARCELO CARRO DONNA","6/1/2001","9/30/2004","190.000"
"D00I1144","2000","INVESTIGACION Y DESARROLLO TECNOLOGICO DEL CULTIVO DE ALGAS Y SU UTILIZACION POR INVERTEBRADOS HERBIVOROS EN CHILE","MACROALGAS","CULTIVO","ABALON","RENATO WESTERMEIER HITSCHFELD","7/3/2001","8/19/2004","160.000"
"D00I1145","2000","DISEÑO Y OPTIMIZACION DE TECNOLOGIA DE PRODUCCION DE OVAS NACIONALES DE SALMON COHO Y SALMON DEL ATLANTICO, DURANTE TODO EL AÑO Y DE ALTA CALIDAD SANITARIA","SALMONIDEOS","OVAS","PRODUCCION","JUAN URIBE BARICHIVIC","5/8/2001","12/7/2003","217.000"
"D00I1149","2000","DESARROLLO DE DIETA ARTIFICIAL PARA OPTIMIZAR CALIDAD COMERCIAL DE GONADAS CAFE DE ERIZOS (LOXECHINUS ALBUS) DE LA XII REGION DESTINADAS AL MERCADO DE EXPORTACION","DIETA ARTIFICIAL","ERIZOS","GONADAS CAFE","(Q.E.P.D.) CLAUDIO ROMO ROMO","4/23/2001","10/30/2003","276.000"
"D00I1150","2000","BASES ESTRATEGICAS PARA CONSOLIDAR EL DESARROLLO DE LA INDUSTRIA MANZANERA CHILENA: ESTABLECIMIENTO DE COMBINACIONES PATRON/VARIEDAD Y DE ESTANDARES NUTRICIONALES PARA DISTINTAS ZONAS PRODUCTIVAS","ESTANDARES NUTRICION","PATRON/VARIEDAD","CALIDAD DE FRUTA","JOSE YURI SALOMON","8/1/2001","11/1/2008","361.000"
"D00I1154","2000","INVESTIGACION Y DESARROLLO DE TECNOLOGIA DE APROVECHAMIENTO DE RECURSOS HIDROBIOLOGICOS PARA LA PRODUCCION DE FERTILIZANTES ORGANICOS SOBRE LA BASE DE ESPECIES ALGALES Y DESECHOS DE LA INDUSTRIA PESQUERA","TECNOLOGIA","HIDROBIOLOGICOS","FERTILIZANTE ORGANICO","ALEJANDRO SANTIBAÑEZ HANDSCHUH","4/4/2001","8/30/2003","246.000"
"D00I1159","2000","DESARROLLO DE UN SISTEMA TECNOLOGICO INDUSTRIAL Y SILVICOLA PARA MEJORAR LA COMPETITIVIDAD EN LA PRODUCCION DE MADERAS ASERRADAS CLEAR (MOULDING X BETTER, SHOP Y REMANUFACTURAS) DE PINO RADIATA","COMPETITIVIDAD","TECNOLOGIA","MADERA ASERRADA","MARIO MENESES VILLANUEVA","7/2/2001","10/31/2003","112.000"
