project_code,year,title,director,keywords,amount,area,start_date,end_date
D10I1051,2010,Sistema De Soporte A La Toma De Decisiones Para Reducir La Vulnerabilidad Frente A Variabilidad Y Ca Mbio Climático En Agricultura De Riego,Francisco Meza Dabancens,"Cambio Climatico, Recursos Hidricos, Agricultura De Riego",320581.0,Agropecuaria,1/16/2012,1/15/2015
D10I1054,2010,Medición De Flujos Y Densidades Espaciales De Clientes En Grandes Tiendas De Retail Usando Múltiples Cámaras De Video,Alvaro Soto Arriaza,"Visión Por Computador, Inteligencia De Máquina, Retail",187116.0,Agropecuaria,12/1/2011,12/1/2014
D10I1055,2010,Una Opción Económico-Productiva Para Las Areas De Manejo Y Explotación De Recursos Bentónicos (Amerb ): Producción Y Cultivo De Fondo De Moluscos Enterradores De Importancia Comercial.,Carlos Estrada Munzenmayer,"Pescadores Artesanales, Areas De Manejo, Cultivo De Moluscos",191114.0,Agropecuaria,5/10/2012,2/10/2015
D10I1056,2010,Control Y Prevención De Infecciones Virales En Salmonicultura: Productos Antivirales Contra Isav Des Arrollados En Base A Herramientas Biotecnológicas Y Genómicas.,Jaime Romero Ormazabal,"Antiviral, Virus Isa, Salmónidos",277440.0,Pesca Y Acuicultura,12/1/2011,12/1/2014
D10I1059,2010,"Modelo De Intervención Biopsicosocial (Mib) En La Escuela: Gestión Operativa, Técnica Y De Evaluació N Continua. Alianza Familia-Escuela-Comunidad.",Mahia Saracostti Schwartzman,"Estrategias Psicosociales, Educación En Contextos Vu, Protección Social A La In",223504.0,Otros,12/22/2011,8/21/2014
D10I1064,2010,Optimización Del Manejo Artificial De La Reproducción De Salmónidos Utilizando La Criobiología Como Herramienta Biotecnológica.,Ivan Valdebenito Isler,"Criobiología, Criopreservación De Semen, Salmonicultura",242578.0,Pesca Y Acuicultura,1/1/2012,1/1/2015
D10I1069,2010,Modelos Multifísicos Simulados En Tiempo Real Aplicados Al Mantenimiento Basado En La Condición (Mbc )  Y Mantención Predictiva (Mp) De Maquinaria Móvil De Gran Tamaño,Luciano Chiang Sanchez,"Mantenimiento Predictivo, Modelos Multifísicos, Soft Sensors",224962.0,Otros,10/8/2012,10/7/2014
D10I1073,2010,Implementación De Un Modelo De Gestión De Calidad Para La Educación Media Técnico Profesional,Martin Miranda Oyarzun,"Educación Técnica, Gestión Escolar, Aprendizaje De Calidad",179816.0,Educación,11/16/2011,11/15/2014
D10I1077,2010,Identificación De Inhibidores De La Quinasa C-Abl Para El  Potencial Tratamiento De La Enfermedad De Alzheimer,Alejandra Alvarez Rojas,"Alzheimer, Neurodegeneración, Droga",350724.0,Salud,12/21/2011,12/20/2014
D10I1086,2010,"Soluciones De Muros De Envolvente Para Casas De Hormigón Bajo Criterios De Desempeño Energitérmicos, Estructurales Y Constructivos",Mauricio Lopez Casanova,"Aislante Térmico, Estructural, Hormigon",286738.0,Infraestructura,12/2/2011,12/1/2014
D10I1090,2010,Desarrollo De Una Terapia Selectiva Contra Cáncer Cervicouterino,Jaime Villegas Olavarría,"Cáncer Cervicouterino, Terapia Antisentido, Ncmtrnas",310934.0,Salud,11/1/2011,11/1/2014
D10I1091,2010,Nueva Bebida Láctea Para El  Programa De Alimentación Complementaria Del Adulto Mayor (Pacam): Nivel Es Óptimos De Fortificación Con Vitaminas D Y B12 Para Mejorar La Funcionalidad Cognitiva Y Motora D E Sus Beneficiarios.,Hugo Sanchez Reyes,"Adulto Mayor, Vitaminas B12 Y D, Funcionalidad Cognitiva Y",323737.0,Alimentos,12/15/2011,12/15/2014
D10I1096,2010,Envase De Atmósfera Modificada Para El Transporte Y Comercialización De Cereza Bajo Fluctuación Térm Ica Hasta El Consumidor Final.,Juan Zoffoli Guerra,"Membrana Termosensible, Envase, Atmosfera Controlada",218772.0,Manufactura,1/9/2012,1/9/2015
D10I1100,2010,Sensores Inteligentes Para El Control De Calidad En La Industria Del Vino,Marcos Caroli Rezende,"Sensores Impresos, Sistemas Automatizados, Industria Vitivinícola",237888.0,Agropecuaria,12/1/2011,3/31/2014
D10I1104,2010,"Obtención De Extractos De Alto Valor Comercial, Ricos En Estilbenos Y/O Procianidinas Para Fortalece R El Aprovechamiento Integral De Residuos De La Industria Vitivinícola.",Claudia Mardones Peña,"Procianidinas, Estilbenos, Vitis Vinifera",314741.0,Otros,11/7/2011,11/6/2014
D10I1109,2010,Minimización De La Formación De Acrilamida En Alimentos De Consumo Masivo En Chile.,Franco Pedreschi Plasencia,"Reduccion De Acrilamida, Medicion De Acrilamida, Acrilamida Dietaria",289202.0,Alimentos,12/1/2011,12/1/2014
D10I1116,2010,Tratamiento Anaeróbico De Biomasa Orgánica Con Biofilm Celulósico Para Producción De Biogas Enriquec Ido Y Biofertilizante Carbonado,Jose Reyes Aroca,"Biogas, Energias Renovables No Co, Residuos Organicos",256909.0,Energía,11/16/2011,11/16/2014
D10I1128,2010,Desarrollo De Prototipos De Suplementos Orales De Origen Vegetal Capaces De Revertir La Resistencia Farmacológica De Cáligus.,Juan Carcamo Matus,"Resistencia De Cáligus, Suplementos De Origen Veg, Administración Oral",268800.0,Salud,5/2/2012,5/2/2015
D10I1141,2010,Desarrollo De La Tecnología Para El Cultivo Intensivo Del Congrio Colorado: Fase Ii Engorda,Alfredo Molina Sirguiado,"Acuicultura, Engorda, Congrio Colorado",240000.0,Agropecuaria,,
D10I1149,2010,Desarrollo De Sistemas De Propagación Para El Escalamiento Operacional De Material Genético De Raulí,Fernando Droppelmann Felmer,"Multiplicación, Micro Y Macropropagación, Certificación Molecular",340405.0,Tic,11/2/2011,11/2/2014
D10I1150,2010,Desarrollo De Soluciones Informáticas Para El Cuidado De Pacientes Postrados Y Otras Condiciones.,Sabina Moreno Jaque,"M-Health, E-Health, Postrados",233803.0,Salud,3/7/2012,3/7/2014
D10I1157,2010,"Teledetección Aplicada Para Optimizar El Uso Del Agua Y Energía En Frutales Y Vides, Desarrollo De U Na Plataforma Geo-Informática",Samuel Ortega Farias,"Teledeteción Aplicada, Frutales Y Vides, Evapotranspiración",255840.0,Agropecuaria,3/5/2012,3/5/2015
D10I1158,2010,Desarrollo De Materiales Termoplásticos Biodegradables A Partir De Biomasa Macroalgal,Alvaro Maldonado Mendoza,"Macroalgas, Biopolimeros, Polisacaridos",314366.0,Pesca Y Acuicultura,11/1/2011,11/1/2014
D10I1170,2010,Aplicación De Altas Presiones Para La Estabilización Microbiológica Y Proteica En Vinos Blancos Como Alternativa Para Reducir El Uso De Sulfuroso Y Bentonita En La Industria Del Vino,Gipsy Tabilo Munizaga,"Altas Presiones Hidrostát, Vinos, Homoegenización Por Alta",231503.0,Agropecuaria,12/5/2011,6/5/2014
D10I1183,2010,Nuevas Estrategias En La Generación De Variedades De Arroz Tolerantes A Frío Y Resistentes A Herbici Das.,Oscar Paredes Carcamo,"Arroz, Tolerancia A Frio, Resistencia A Herbicidas",257600.0,Otros,10/17/2011,10/17/2014
D10I1185,2010,Producción Optimizada De Piscirickettsia Salmonis En Cultivo Líquido Para La Generación De Vacunas I Nnovadoras,Claudia Altamirano Gomez,"Piscirickettsia Salmonis, Fermentación Sumergida, Vacunas Vivas",288000.0,Agropecuaria,12/1/2011,12/1/2014
D10I1198,2010,Desarrollo De Una Plataforma Tecnológica Genérica Basada En Web Intelligence De Apoyo Al Diseño Y Ap Licación De Mejores Estrategias De Creación De Valor En La Industria De Los Servicios: Experiencia D Emostrativa En El  Clúster Del Turismo De La Región De,Juan Velasquez Silva,"Web Intelligence, Adaptiv, Data Webhouse, Turismo,, Region De Los Lagos",220634.0,Tic,1/2/2012,1/2/2014
D10I1202,2010,Desarrollo De Un Kit Rápido De Detección De S. Agalactiae En Mujeres Embarazadas,Abel Vasquez Veloso,"S. Agalactiae, Test Inmunocromatográfico, Sepsis Neonatal",181406.0,Otros,12/2/2011,6/2/2014
D10I1208,2010,Desarrollo De Feromonas Para El Manejo De Chanchitos Blancos (Pseudococcidae) En Frutales,Tania Zaviezo Palacios,"Pseudococcidae, Feromonas, Monitoreo",207359.0,Agropecuaria,3/1/2012,3/1/2015
D10I1221,2010,Eucachip: Herramienta De Selección Genómica Para La Industria De Biocombustibles De Segunda Generaci Ón,Sofia Valenzuela Aguila,"Bioetanol, Wide-Genome Selection, Eucalipto",298848.0,Forestal,11/10/2011,11/10/2014
D10I1222,2010,"Plastificación De Aserrín De Pino Radiata: Desarrollo De Un Nuevo Material Termoplástico De Calidad, Precio Competitivo Y Alta Demanda Comercial",Miguel Pereira Soto,"Plastificacion, Biomateriales, Esterificacion",314835.0,Forestal,11/14/2011,11/14/2014
D10I1225,2010,Paquete Tecnológico Para El Monitoreo Automático De Caligus Rogercresseyi En Salmones De Centros De Cultivo Del Sur De Chile,Hector Noriega Fernández,"Diagnóstico Automático De, Muestreo Significativo, Automatización De Muestre",200000.0,Agropecuaria,12/1/2011,12/1/2014
D10I1229,2010,Metodología Para El Trabajo Pedagógico En Educación Matemática Mediada Por El Uso De Tic Para Profes Ores De Enseñanza Básica,Lorena Espinoza Salfate,"Educación Matemática, Didáctica De Las Matemáti, Integración De Tic A La E",228881.0,Tic,12/30/2011,3/30/2014
D10I1234,2010,Desarrollo De Envases Para Alimentos Con Propiedades Barrera Activa/Pasiva Basados En Nanocompuestos Termoplásticos,Bernabe Rivas Quiroz,"Nanocompuestos Polimérico, Arcillas Modificadas, Envases Activos",234013.0,Tic,11/1/2011,11/1/2014
D10I1238,2010,Establecimiento De Banco De Perfiles Metabólicos Del Cultivar Carménère Y Desarrollo De Un Sistema P Redictivo De La Calidad Del Vino Basado En Biomarcadores Metabólicos Presentes En El Fruto De Vid Y/ O Mosto,Hugo Peña Cortes,"Carménère, Metabolomica, Sistema Predictivo Calida",297878.0,Agropecuaria,12/1/2011,12/1/2014
D10I1240,2010,Prevención De La Mancha Azul En Madera De Pino Radiata Con Productos Naturales Amistosos Con El Medi O Ambiente,Jose Navarrete Araya,"Pino Radiata, Ophiostoma, Mancha Azul, Trichoderma Harzianum, Qu",295659.0,Forestal,3/1/2012,3/1/2015
